code,title,credits
BSAD 6392,DOCTORAL RESEARCH AND TEACHING COLLOQUIUM,3
ME 5323,ENGINEERING RESEARCH METHODS,3
HONR-EN 2303,HONORS SPECIAL TOPICS,3
SOCW 5313,RESEARCH AND EVALUATION METHODS IN SOCIAL WORK II,3
CRCJ 3371,CRIME SCENE INVESTIGATION,3
SCIE 5305,SPECIAL TOPICS IN SCIENCE II,3
ENVR 4315,INTRODUCTION TO ENVIRONMENTAL STUDIES,3
MANA 4329,DISABILITY & WORK,3
INTD 3305,HISTORY OF INTERIOR DESIGN,3
MAE 4302,INTRODUCTION TO BEARING DESIGN AND LUBRICATION,3
CRCJ 5366,JUVENILE DELINQUENCY AND JUVENILE CORRECTIONS,3
PHYS 5308,QUANTUM MECHANICS II,3
CSE 5342,EMBEDDED SYSTEMS II,3
SOCI 3343,RELIGION IN MODERN AMERICA,3
MATH 5351,APPLIED MATHEMATICS II,3
NURSC 5465,PRIMARY PEDIATRIC CARE,4
THEA 4191,CONFERENCE COURSE,1
ENGL 3344,NATIVE AMERICAN LITERATURES,3
PSYC 6338,NEURAL AND COGNITIVE MODELING,3
ARCH 5324,STRUCTURES I,3
CRCJ 4365,CAPITAL PUNISHMENT,3
AREN 4346,ELECTRICAL SYSTEMS & LIGHTING FOR ARCHITECTURAL ENGINEERS,3
HONR 4503,HONORS SPECIAL TOPICS,5
PHYS 5309,ELECTROMAGNETIC THEORY I,3
PSYC 3306,PSYCHOLOGY OF CREATIVITY AND CREATIVE THINKING,3
POLS 5318,WOMEN IN THE POLITICAL PROCESS,3
PLAN 6308,METROPOLITAN SUSTAINABILITY AND PLAN MAKING,3
INSY 5360,COMPUTATIONAL TECHNIQUES FOR BUSINESS ANALYTICS,3
CSE 4361,SOFTWARE DESIGN PATTERNS,3
ARCH 5310,SKYSCRAPER HISTORIES,3
AAST 3337,RACIAL & ETHNIC GROUPS IN US,3
RUSS 4301,SELECTED AUTHORS AND TOPICS,3
THEA 4345,SUMMER THEATRE ACTIVITIES,3
SPAN 4327,WOMEN IN HISPANIC LITERATURE,3
HONR-EN 4303,ADVANCED SPECIAL TOPICS,3
SOCI 5191,CONFERENCE COURSE,1
DNCE 3236,JAZZ DANCE II,2
EDAD 1130,FOUNDATIONS OF LEADERSHIP,1
AE 6297,RESEARCH IN AEROSPACE ENGINEERING,2
GEOL 5428,HYDROGEOLOGY,4
ART 3352,DIGITAL IMAGING,3
PHYS 3446,NUCLEAR AND PARTICLE PHYSICS,4
IE 5309,STOCHASTIC PROCESSES,3
POLS 3302,INTRODUCTION TO INTERNATIONAL RELATIONS,3
MUSI 0121,COLOR GUARD,1
ME 6315,ADVANCED COMPOSITES,3
EE 4320,DIGITAL VLSI DESIGN,3
NURS 6331,DNP PRACTICUM I PRACTICE,3
MUSI 3212,JAZZ TECHNIQUES,2
ASDS 5304,APPLIED MULTIVARIATE STATISTICAL ANALYSIS,3
DIVR 3328,MARITAL AND SEXUAL LIFESTYLES,3
AE 5398,THESIS,3
SPAN 2310,HISPANIC CULTURE IN THE WORLD,3
KINE 4320,TEACHING SECONDARY PHYSICAL EDUCATION,3
KINE 5345,SPORT NUTRITION,3
AAST 3338,CONTEMPORARY BLACK EXPERIENCE,3
PSYC 3317,INTRODUCTION TO CLINICAL AND COUNSELING PSYCHOLOGY,3
NURSG 5432,FAMILY I,4
ENVR 4314,TOXICOLOGY FOR ENVIRONMENTAL SCIENTISTS,3
NURS 5360,SIMULATION APPLICATION IN NURSING,3
MAE 3405,FLIGHT DYNAMICS,4
BE 5316,FUNDAMENTAL MATH AND PHYSICS FOR BIOENGINEERING,3
KINE 5191,INTERNSHIP IN CARDIOPULMONARY REHABILITATION,1
MAE 3360,ENGINEERING ANALYSIS,3
SOCW 5323,PROGRAM EVALUATION,3
BEEP 5363,LITERACY DEVELOPMENT IN ENGLISH AND SPANISH,3
PSYC 4301,PRINCIPLES OF NEUROSCIENCE,3
KINE 5221,CLINICAL ATHLETIC TRAINING II,2
NURS-IS 3137,INDEPENDENT STUDY,1
ADVT 4393,SPECIAL TOPICS,3
PLAN 6345,PLANNING AND REAL ESTATE DEVELOPMENT,3
CHEM 4101,SEMINAR IN CHEMISTRY,1
HIST 4368,HISTORICAL MEMORIES OF RESISTANCE,3
EDAD 6179,SUPERINTENDENCY PRACTICUM,1
ECON 4330,HUMAN RESOURCE ECONOMICS,3
EDUCIR 5391,INDEPENDENT RESEARCH,3
NURS 5461,ADULT GERONTOLOGY MANAGEMENT ACROSS THE CONTINUUM OF CARE,4
SUT 3305,SUT WORK PRACTICE I INTERVIEWING SKILLS,3
UNIV-AT 1131,STUDENT SUCCESS,1
CSE 6332,CLOUD COMPUTING & BIG DATA,3
ENGL 6350,TOPICS IN THE HISTORY AND THEORY OF RHETORIC,3
REAE 5334,SEMINAR IN REAL ESTATE APPRAISAL,3
SOCW 5585,FOUNDATION FIELD BLOCK I,5
EDUC 3390,SPECIAL TOPICS IN EDUCATION,3
SOCW 5354,PRINCIPLES OF SUBSTANCE MISUSE TREATMENT,3
MUSI 3191,SECONDARY LESSONS IN STRINGS,1
SOCW 6340,ADVANCED RESEARCH METHODS IN HUMAN SERVICES,3
PAPP 5365,FOUNDATIONS OF ENVIRONMENTAL POLICY,3
INSY 4325,ENTERPRISE SYSTEMS MANAGEMENT,3
ANTH 3371,ARCHAEOLOGY OF GREECE,3
GEOL 5321,ANALYSIS OF SPATIAL DATA,3
KINE 5337,STRENGTH AND CONDITIONING IN GENERAL POPULATIONS: HEALTH AND DISEASE,3
SOCW 6348,SEMINAR IN QUALITATIVE RESEARCH METHODS,3
EE 4379,UNMANNED VEHICLE SYSTEM DEVELOPMENT,3
MUSI 3359,PRIVATE LESSONS IN BRASS,3
LING 4328,PSYCHOLINGUISTICS,3
ENGL 6330,GENRE STUDIES IN BRITISH LITERATURE,3
HEED 4312,HEALTH & HUMAN DISEASE,3
KINE 5234,CLINICAL REASONING AND DECISION MAKING,2
EE 5333,WAVE PROPAGATION AND SCATTERING,3
ARCH 5349,ARCHITECTURE PORTFOLIO,3
SOCW 5307,DIVERSE POPULATIONS,3
UNIV-SC 1131,STUDENT SUCCESS,1
NURS 5315,ADVANCED PATHOPHYSIOLOGY,3
MUSI 4326,RECORDING TECHNIQUES III,3
INTD 4556,DESIGN STUDIO: INTERIOR DESIGN IV,5
THEA 4343,COSTUME DESIGN,3
POLS 5347,POLITICS OF MEXICO,3
BIOL 4357,HEALTH PSYCHOLOGY,3
ART 5000,SUPERVISED TEACHING STUDIO ART,0
BIOL 5341,HISTOLOGY,3
MUSI 5350,SELECTED TOPICS IN MUSIC PEDAGOGY,3
ANTH 3307,EVOLUTIONARY MEDICINE,3
OPMA 3310,PROJECT MANAGEMENT,3
ARCH 5342,DESIGN COMMUNICATIONS,3
GERM 2391,CONFERENCE COURSE,3
MUSI 5361,EARLY CHILDHOOD MUSIC,3
MUSI 3355,PRIVATE LESSONS IN STRINGS,3
KINE 4353,EMERGENCY PREPAREDNESS & MANAGEMENT,3
MUSI 3268,PRIVATE LESSONS IN HARPSICHORD,2
COMM 2311,WRITING FOR MASS MEDIA,3
MATH 3301,FOUNDATIONS OF GEOMETRY,3
MUSI 3236,PRIVATE LESSONS IN JAZZ GUITAR,2
GEOL 5199,TECHNICAL SESSIONS,1
DS 3322,DISABILITY ETHICS,3
ANTH 3357,COLLAPSE AND SUSTAINABILITY OF SOCIETIES,3
NURSC 5463,ADULT GERONTOLOGY ACUTE CARE,4
EXSS 2220,LIFEGRD INSTR,2
MUSI 5107,JAZZ ORCHESTRA,1
CSE 3302,PROGRAMMING LANGUAGES,3
ME 5305,DYNAMIC SYSTEMS MODELING,3
INSY 4393,INFORMATION SYSTEMS INTERNSHIP,3
PLAN 5342,ENVIRONMENTAL POLICY,3
ENVR 4189,RESEARCH IN ENVIRONMENTAL SCIENCE,1
EXSA 0165,PILATES,1
SOCI 4395,SERVICE LEARNING INDEPENDENT STUDY,3
POLS 3379,LATINO POLITICAL THOUGHT,3
IE 6399,DISSERTATION,3
AAST 3350,BLACK POLITICAL AND SOCIAL THOUGHT,3
BIOL 4352,FORENSIC BIOLOGY,3
LING 5391,CONFERENCE COURSE IN LINGUISTICS,3
HEED 4357,HEALTH PSYCHOLOGY,3
HONR-NU 4303,ADVANCED SPECIAL TOPICS,3
MSE 4350,INTRODUCTION TO COMPUTATIONAL MATERIALS,3
GEOL 4289,RESEARCH IN GEOLOGY,2
GWSS 2307,WOMEN IN THE ANCIENT WORLD,3
CSE 2000,SOPHOMORE UNDERGRADUATE RESEARCH,0
CHEM 4380,UNDERGRADUATE RESEARCH,3
ENGL 5301,MEDIEVAL ENGLISH LITERATURE,3
KINE 5170,JOURNAL CLUB IN PHYSIOLOGY,1
HIST 5347,INTRODUCTION TO TEACHING COLLEGE HISTORY,3
FREN 2313,INTERMEDIATE FRENCH I,3
THEA 1307,ACTING: FUNDAMENTALS,3
